Year,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Period,,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Архангельская область (кроме Ненецкого автономного округа),"Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением",6.5,21.7,29.7,32.6,27.7,8.5,29.8,7.6,18.2,24.9,19.5,93.2,5.5,16.6,21.1,29.8,9.1,23.8,17.9,13.6,26.3,27.7,79.4,81.9,38.4,21.5,30.9,30.7,17.9,36.4,27.8,45.0,35.5,50.2,31.7,56.6
Архангельская область (кроме Ненецкого автономного округа),Общежития,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,
Архангельская область (кроме Ненецкого автономного округа),Отдельно стоящие здания жилого назначения квартирного типа,,10.7,15.6,24.1,12.3,,18.7,,6.4,17.4,11.1,77.5,,0.6,7.0,22.7,2.0,12.9,7.6,,12.9,14.3,65.1,63.0,26.6,10.2,14.6,12.3,4.7,22.9,8.9,22.2,19.1,31.9,16.8,45.4
Архангельская область (кроме Ненецкого автономного округа),Отдельно стоящие здания жилого назначения квартирного типа в сельской местности,,,,,,,,,,,,1.1,,0.6,,,0.2,,,,,,1.6,1.3,,,,,,,,,,,,
Астраханская область,"Жилые дома в сельской местности,построенные населением",7.5,9.5,12.4,7.6,6.3,11.8,22.1,10.0,16.5,11.9,8.2,12.9,7.5,7.8,14.4,5.6,12.6,13.1,14.7,20.8,17.6,22.7,19.8,21.8,8.7,10.8,27.7,23.5,27.2,23.8,22.4,17.4,25.0,27.8,30.9,5.1
Астраханская область,"Жилые дома и общежития,построенные за счет бюджетов субъектов Российской и местных бюджетов",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.0
Астраханская область,Жилые дома коттеджного типа,,,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Астраханская область,"Жилые дома общежития,построенные за счет средств федерального бюджета",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,10.8
Астраханская область,"Жилые дома,построенные населением",11.1,16.4,21.1,13.0,9.0,16.9,28.8,16.1,22.5,16.4,11.8,18.6,9.8,17.3,23.6,8.5,22.4,22.9,26.6,31.7,29.7,34.7,33.7,29.9,21.5,18.4,56.3,47.9,42.6,40.9,38.6,29.2,43.8,43.2,50.0,7.8
Астраханская область,Жилые здания,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,17.6,23.1,1.3,0.4,0.0,0.3,3.1,9.6,0.0,34.2
Астраханская область,Жилые здания индивидуальные,,,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Астраханская область,Жилые здания многоквартирные,,9.2,19.3,,,10.3,0.8,12.2,2.7,,13.3,16.4,0.9,4.4,16.6,,,6.4,15.7,,,2.3,,27.8,13.7,,17.4,23.1,1.3,0.4,0.0,0.3,3.1,9.6,0.0,23.5
